"ap 06:10"|610|"Fangorn Forest – cont. passim, 586–99 passim, 600–51, 657, 713, 715, 721, 730, 735, 736, 764, 767, 1020, 1281, 1284, 1435; name (Fangorn) 1486; East End 610"|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"So they talked until the sun reached its height, and suddenly the noon-bells were rung, and there was a stir in the citadel;
   for all save the watchmen were going to their meal."|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"Ere noon the army came to Osgiliath. There all the workers and craftsmen that could be spared were busy. Some were strengthening
   the ferries and boat-bridges that the enemy had made and in part destroyed when they fled; some gathered stores and booty;
   and others on the eastern side across the River were throwing up hasty works of defence."|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"‘I wonder if they think of us at all,’ he said, ‘and what is 
   happening to them all away there.’ He waved his hand vaguely in the air before him; but he was in fact now facing southwards,
   as he came back to Shelob’s tunnel, not west. Out westward in the world it was drawing to noon upon the fourteenth day of
   March in the Shire-reckoning, and even now Aragorn was leading the black fleet from Pelargir, and Merry was riding with the
   Rohirrim down the Stonewain Valley, while in Minas Tirith flames were rising and Pippin watched the madness growing in the
   eyes of Denethor. Yet amid all their cares and fear the thoughts of their friends turned constantly to Frodo and Sam. They
   were not forgotten. But they were far beyond aid, and no thought could yet bring any help to Samwise Hamfast’s son; he was
   utterly alone."|"The Return of the King"|"J. R. R. Tolkien"
"< 12:00"|"nearly noon"|"‘Yes, I am all right otherwise,’ said Frodo, sitting up and laughing in his turn. ‘I fell asleep again waiting for you, Sam,
   you sleepy-head. I was awake early this morning, and now it must be nearly noon.’"|"The Return of the King"|"J. R. R. Tolkien"
"< 12:00"|"nearly noon"|"‘Yes, I am all right otherwise,’ said Frodo, sitting up and laughing in his turn. ‘I fell asleep again waiting for you, Sam,
   you sleepy-head. I was awake early this morning, and now it must be nearly noon.’
‘Noon?’ said Sam, trying to calculate. ‘Noon of what day?’
‘The fourteenth of the New Year,’ said Gandalf; ‘or if you like, the eighth day of April in the Shire-reckoning.
   
    But in Gondor the New Year will always now begin upon the twenty-fifth of March when Sauron fell, and when you were brought
   out of the fire to the King. He has tended you, and now he awaits you. You shall eat and drink with him. When you are ready
   I will lead you to him.’"|"The Return of the King"|"J. R. R. Tolkien"
12:00|Noon|"‘Yes, I am all right otherwise,’ said Frodo, sitting up and laughing in his turn. ‘I fell asleep again waiting for you, Sam,
   you sleepy-head. I was awake early this morning, and now it must be nearly noon.’
‘Noon?’ said Sam, trying to calculate. ‘Noon of what day?’
‘The fourteenth of the New Year,’ said Gandalf; ‘or if you like, the eighth day of April in the Shire-reckoning.
   
    But in Gondor the New Year will always now begin upon the twenty-fifth of March when Sauron fell, and when you were brought
   out of the fire to the King. He has tended you, and now he awaits you. You shall eat and drink with him. When you are ready
   I will lead you to him.’"|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"And at the last, as the Sun fell from the noon and the shadows of the trees lengthened, he ended. ‘Praise them with great
   praise!’ he said and knelt. And then Aragorn stood up, and all the host arose, and they passed to pavilions made ready, to
   eat and drink and make merry while the day lasted."|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"And before the Sun had fallen far from the noon out of the East there came a great Eagle flying, and he bore tidings beyond
   hope from the Lords of the West, crying:"|"The Return of the King"|"J. R. R. Tolkien"
10:00|"ten o’clock in the morning"|"The Shirriff-house at Frogmorton was as bad as the Bridge-house. It had only one storey, but it had the same narrow windows,
   and it was built of ugly pale bricks, badly laid. Inside it was damp and cheerless, and supper was served on a long bare table
   that had not been scrubbed for weeks. The food deserved no better setting. The travellers were glad to leave the place. It
   was about eighteen miles to Bywater, and they set off at ten o’clock in the morning. They would have started earlier, only
   the delay so plainly annoyed the Shirriff-leader. The west wind had shifted northward and it was turning colder, but the rain
   was gone."|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"At the Three-Farthing Stone they gave it up. They had done nearly fourteen miles with only one rest at noon. It was now three
   o’clock. They were hungry and very footsore and they could not stand the pace."|"The Return of the King"|"J. R. R. Tolkien"
"ap 03:00"|"three
   o’clock"|"At the Three-Farthing Stone they gave it up. They had done nearly fourteen miles with only one rest at noon. It was now three
   o’clock. They were hungry and very footsore and they could not stand the pace."|"The Return of the King"|"J. R. R. Tolkien"
"ap 06:00"|"six o’clock"|"‘Why not now?’ said Sam. ‘It’s not much more than six o’clock. And I want to see my gaffer. D’you know what’s come of him,
   Mr. Cotton?’"|"The Return of the King"|"J. R. R. Tolkien"
"ap ~ 10:00"|"about ten o’clock"|"The next news was less good. Merry, who had been out 
   all night, came riding in about ten o’clock. ‘There’s a big band about four miles away,’ he said. ‘They’re coming along the
   road from Waymeet, but a good many stray ruffians have joined up with them. There must be close on a hundred of them; and
   they’re fire-raising as they come. Curse them!’"|"The Return of the King"|"J. R. R. Tolkien"
12:00|midday|"Frodo had been in the battle, but he had not drawn sword, and his chief part had been to prevent the hobbits in their wrath
   at their losses, from slaying those of their enemies who threw down their weapons. When the fighting was over, and the later
   labours were ordered, Merry, Pippin, and Sam joined him, and they rode back with the Cottons. They ate a late midday meal,
   and then Frodo said with a sigh: ‘Well, I suppose it is time now that we dealt with the “Chief ”.’"|"The Return of the King"|"J. R. R. Tolkien"
"ap 10:00"|ten|"The pursuers brought their steeds to a sudden stand. A silence followed; and then in the moonlight, a horseman could be seen
   dismounting and walking slowly forward. His hand showed white as he held it up, palm outward, in token of peace; but the king’s
   men gripped their weapons. At ten paces the man stopped. He was tall, a dark standing shadow. Then his clear voice rang out."|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"‘Nay! There is no time,’ said the Elf. ‘Do not spoil the wonder with haste! I have given you my word to return hither with
   you, if a day of peace and freedom comes again. But it 
   is now near to noon, and at that hour we eat, and then set out again, I hear.’"|"The Return of the King"|"J. R. R. Tolkien"
12:00|midday|"For a while the three companions walked together, speaking of this and that turn of the battle, and they went down from the
   broken gate, and passed the mounds of the fallen on the greensward beside the road, until they stood on Helm’s Dike and looked
   into the Coomb. The Death Down already stood there, black and tall and stony, and the great trampling and scoring of the grass
   by the Huorns could be plainly seen. The Dunlendings and many men of the garrison of the Burg were at work on the Dike or
   in the fields and about the battered walls behind; yet all seemed strangely quiet: a weary valley resting after a great storm.
   Soon they turned back and went to the midday meal in the hall of the Burg."|"The Return of the King"|"J. R. R. Tolkien"
"> 12:00"|"past noon"|"‘It is now a full hour past noon,’ said Éomer. ‘Before the night of the third day from now we should come to the Hold. The
   Moon will then be two nights past his full, and the muster that the king commanded will be held the day after. More speed
   we cannot make, if the strength of Rohan is to be gathered.’"|"The Return of the King"|"J. R. R. Tolkien"
00:00|midnight|"Bells were ringing far below, and all men fled before the face of Aragorn; but the Grey Company in their haste rode like hunters,
   until their horses were stumbling with weariness. And thus, just ere midnight, and in a darkness as black as the caverns in
   the mountains, they came at last to the Hill of Erech."|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"It was indeed in deepening gloom that the king came to Edoras, although it was then but noon by the hour. There he halted
   only a short while and strengthened his host by some three score of Riders that came late to the weapontake. Now having eaten
   he made ready to set out again, and he wished 
   his esquire a kindly farewell. But Merry begged for the last time not to be parted from him."|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"‘No! I have provided it: all that you will get till noon. Food is now doled out by order.’"|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"‘Yes,’ said Pippin, ‘Gandalf, too, is anxious. He was disappointed, I think, not to find Faramir here. And where has he got
   to himself? He left the Lord’s council before the noon-meal, and in no good mood either, I thought. Perhaps he has some foreboding
   of bad news.’"|"The Return of the King"|"J. R. R. Tolkien"
12:00|noon|"‘Wild Men go quick on feet,’ said Ghân. ‘Way is wide for four horses in Stonewain Valley yonder,’ he waved his hand southwards;
   ‘but narrow at beginning and at end. Wild Man could walk from here to Dîn between sunrise and noon.’"|"The Return of the King"|"J. R. R. Tolkien"
00:00|midnight|"‘But at midnight hope was indeed born anew. Sea-crafty men of the Ethir gazing southward spoke of a change coming with a fresh
   wind from the Sea. Long ere day the masted ships hoisted sail, and our speed grew, until dawn whitened the foam at our prows.
   And so it was, as you know, that we came in the third hour of the morning with a fair wind and the Sun unveiled, and we unfurled
   the great standard in battle. It was a great day and a great hour, whatever may come after.’"|"The Return of the King"|"J. R. R. Tolkien"
"ap 05:48"|"5 hours, 48 minutes"|"
365 days, 5 hours, 48 minutes, 46 seconds.
"|"The Return of the King"|"J. R. R. Tolkien"
