"> 12:00"|"past noon"|"The water was calm, ruffled only by small ripples as the breeze touched it or the sliding wrinkles that the Lady told him signaled hidden snags or bars. The autumn had been rainy and the water was high; Gawen looked at the waving water grass and imagined sunken meadows. Hills and hummocks poked through the surface, linked in some places by thick reeds. It was past noon when at last the Lady sent the boat sliding up the pebbled shore of one island which—at least to Gawen—seemed no different from any other. Then she stepped out on the dry ground and motioned to the two children to follow her onto the land."|"Lady of Avalon"|"Marion Zimmer Bradley"
00:00|midnight|"At the moment when the stars stood still for midnight, Brannos stepped to the brow of the Tor, set his horn to his lips, and blew. His fingers might be too gnarled for the harp, but there was nothing wrong with his lungs. Softly at first, the horncall drifted out upon the shadowed air, gathering volume as if it were drawing strength from the night itself, filling the darkness with a music so profound that she thought an answering vibration must be echoing from the stars. Caillean felt her skin shiver with the chill of impending trance, and knew that what she was hearing was not entirely physical, for what sound produced by a human frame could fill the world? And by what senses of the flesh could it be perceived? What her spirit heard was the manifestation of the old Druid’s trained will."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noon|"Voices chiming in sequence, they continued the incantation. In the rainbow light Caillean saw images of Avalon: mist veiling the pink gleam of the lake at sunrise, the silver-bright glitter of light at noon, shards of flame among the reedbeds at the close of day. They invoked the beauty of the Tor in the springtime, garlanded with apple blossom, in the green strength of summer, and veiled in the quiet grey mists of the fall. The song turned to green islands, to oak trees reaching skyward and the sweetness of berries guarded by briars."|"Lady of Avalon"|"Marion Zimmer Bradley"
00:00|midnight|"She must think me a fool! Teleri told herself, turning over yet again. I suppose they all worship her. In all the stories, the Lady of Avalon was an awesome figure, and it was true. Lady Dierna was like a beacon fire blazing against a midnight sky. Next to that radiance Teleri felt ghostly. Perhaps, she thought then, she was indeed the spirit of someone who had known Dierna in another lifetime."|"Lady of Avalon"|"Marion Zimmer Bradley"
"ap 11:00"|eleven|"“Becca! I’m coming—don’t move!” At eleven, Dierna knew the wetlands well enough to make her way through them alone. She was looking for fresh eggs for one of the priestesses, who was ill. Becca was only six, too small to jump from one tussock to the next; Dierna had not wanted the child to slow her down. But since their mother died the year before, the younger girl had been Dierna’s shadow. How had she gotten this far alone?"|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noontide|"He had stood, sweating in his toga beneath the sun of noontide, throughout the Roman ritual. Tonight he wore a linen tunic dyed crimson, with native needlework around the borders, and a light woolen mantle held by a golden brooch pin. The gear was similar enough to the native dress of his own people in the fens of Germania to bring back memories of a past he had renounced when he swore to serve Rome. His father’s people had made their offerings to Nehallenia. What goddess, he wondered, did they pray to here?"|"Lady of Avalon"|"Marion Zimmer Bradley"
00:00|midnight|"The fortress lay in the stillness of the hours between midnight and dawn, when everyone was asleep but the guards on the walls. And himself and Allectus. The younger man moved three more wooden “bags of grain” from the painted image of Dubris to Rutupiae and glanced at his commander."|"Lady of Avalon"|"Marion Zimmer Bradley"
02:30|vigils|"They stood facing each other while the moon rose higher, and if the time seemed long to him, to Dierna, accustomed to such vigils, it was a respite from the cares of the world. As the silence deepened, it came to her more and more strongly that in another time and place she had faced this man across an altar before."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noon|"When Teleri woke the next morning, they told her that the Lady of Avalon had gone. For a moment she felt a pang of loss. Then she remembered what had passed between them, and was glad. Before the noon meal, trumpets announced another arrival. It was Allectus, and she was too glad to see him to ask why he was not with the Emperor. The tree-clad hills around Aquae Sulis had become a prison to her. Suddenly she was homesick for the rolling hills above Durnovaria and the sight of the sea."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noon|"It was nearing noon when one of the Menapians called out and, looking up, Carausius saw a cloud of dust on the road. The past few years had taught him to judge cavalry, and he estimated that perhaps two score horsemen were coming, pushing their mounts harder than an experienced commander would have recommended, out of exuberance, probably, rather than emergency. He squeezed his own mount’s sides, and the Menapians speeded into a trot behind him as they hurried to meet the Durotriges."|"Lady of Avalon"|"Marion Zimmer Bradley"
"> 00:00"|"a little past midnight"|"For three days and three nights Dierna had maintained her vigil, as her spirit yearned toward that of the man she loved. By the end of the second day, the contact was becoming intermittent, as if he were moving in and out of consciousness. On the third day, agony reawakened, and with it an anxiety that she could hardly bear. It was not until a little past midnight that she fell into a fitful sleep, full of nightmares through which she fled, pursued by faceless demons, struggling in a bloody sea."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noon|"The sun was declining a little from the height of noon when they set out, Taliesin on his mule and Viviane on one of the tough little hill ponies of the north. The water between the isle and the mainland had frozen solid, and they were able to ride across. They passed through the village that had grown up near the legionary fortress at Segontium and started along the road the Romans had built across the top of the Deceangli country, heading for Deva."|"Lady of Avalon"|"Marion Zimmer Bradley"
"< 00:00"|"toward midnight"|"Tonight the moon was still a maiden, her shining bow already arching westward as the world turned toward midnight. Like me, thought Viviane as she gazed upward. She shivered, for the torches they had set to either side of the altar gave out no heat, and only a fitful light. She took a deep breath as she had been taught, willing her body to ignore the chill air."|"Lady of Avalon"|"Marion Zimmer Bradley"
00:00|midnight|"That lovely light shone like dawn at midnight as she continued down the path that led to the lake. There she lifted the Grail once more and poured its contents into the greater water in a glistening stream. To her altered sight, the water of the well carried with it a glow that spread in shimmering motes, until the entire lake bore an opalescent sheen. Everything that water touched, she knew, would receive a part of the blessing, not only in Avalon, but in all the worlds."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noon|"She thought back over the past few days. Although the ritual restrictions of the weeks before the equinox had been relaxed, she had become accustomed to keeping to that diet, and with all the excitement, today she had eaten nothing since noon. Taking a deep breath, she moved toward the Grail."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noon|"Viviane sat down upon a weathered log and watched a kingfisher dart and soar like the spirit of the sky. Sunlight sparkled on the water, and glowed in the worn wood of the little flatboat they had left for her, a punt such as the marsh folk used. The air still retained the warmth of noon, but a light breeze was stirring in the west, bearing with it the cool breath of the sea. She smiled, letting the sun relax muscles that had gone tight with tension. Even to have a choice in whether to go out into the world or return to Avalon was a victory; but she already knew what her decision would be."|"Lady of Avalon"|"Marion Zimmer Bradley"
"ap 04:00"|four|"“Ouf—I think it’s time for Fivy to put you down, love, while I still have a back!” At four, Igraine was almost half Viviane’s height already, and there was no doubt she was Taliesin’s daughter: though the little girl’s hair was a redder gold, the deep blue of their eyes was the same."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noon|"In the morning they rode out toward Glevum, but by noon on their second day of travel, Vortimer grew fevered. He refused to stop, however, and he would not allow her to examine his wound. As the afternoon drew on, the men in their escort began to share her concern, and when she ordered them to turn toward Cunetio instead of taking the northerly fork in the road they did not argue."|"Lady of Avalon"|"Marion Zimmer Bradley"
"ap < 02:00"|"Almost two"|"His gaze moved toward that other daughter, who walked along the shore, her cropped head bent, pausing from time to time to gaze away toward the Watch Hill where they had buried Vortimer. Almost two moons had passed since the marsh folk had found her with his body at the old hill-fort and brought them back to Avalon, and still she grieved. She had begged them to let her take him back to Rutupiae, but it was too dangerous, with the remnants of the Saxon host still ranging that shore. Was that why her face had grown so thin? And yet this gauntness had not affected her body. As she turned, her silhouette dark against the bright water, he could see the lovely shape of her breasts—"|"Lady of Avalon"|"Marion Zimmer Bradley"
"ap 05:00"|five|"“Indeed you are….” At five, she was as bright as any little one he had ever known, but of late she seemed to need reassurance as she had not before."|"Lady of Avalon"|"Marion Zimmer Bradley"
00:00|midnight|"The Lady of the Lake sat on a throne of lashed branches covered with a white horsehide, facing the bonfire they had built on the big meadow below the holy well. Soon it would be midnight, and the people were dancing; the earth throbbed to the stamp of bare feet and the beating of their drums. She bore the sigils of the white mare and crescent moon of the Goddess on breast and brow and nothing more, for on this night she was the priestess of the Great Mother for them all."|"Lady of Avalon"|"Marion Zimmer Bradley"
00:00|midnight|"Someone threw more wood on the fire, and Ana’s gaze followed the exploding sparks upward until they were lost among the cold fires of the sky. It was nearing midnight, and her anticipation grew. Then from the watcher by the well came a ululating cry that pierced through the noise of the dancing. The torches were moving, winding down the Processional Way around the Tor. The drummers lifted their hands, and silence spread like a spell."|"Lady of Avalon"|"Marion Zimmer Bradley"
12:00|noon|"And there, somewhere between noon and sunset, she gave birth to Vortimer’s child. It was a daughter, seeming almost too fragile to live, but tiny and perfect, with hair as dark as her own, who mewed faintly as she felt the touch of the wind. Viviane tied off the cord with the lace from her gown and cut it with the little sickle knife of a priestess that never left her. She had enough strength to put the child to her breast, held snugly against her body within her gown, and to pull the cloak around them. Then she could do no more."|"Lady of Avalon"|"Marion Zimmer Bradley"
