"> 12:00"|"after high noon"|"This time, since it was after high noon, the gates were ajar and the keeper of the gate idled upon the threshold, picking his teeth with a bamboo sliver after his meal. He was a tall fellow with a large mole upon his left cheek, and from the mole hung three long black hairs which had never been cut. When Wang Lung appeared he shouted roughly, thinking from the basket that he had come to sell something."|"The Good Earth"|"Pearl S. Buck"
"> 12:00"|"after noon"|"As he feared so it happened. His uncle stretched himsel upon the bed at last after noon had passed and he yawned loudly three times and came out of the room, shrugging the clothes together upon his body and he said to Wang Lung,"|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"When he came in at noon and at night he ate well of the food which O-lan prepared for him, good rice and cabbage and beancurd, and good garlic rolled into wheat bread. When Lotus held her small nose under her hand at his coming and cried out at his reek, he laughed and cared nothing and he breathed out his stout breath at her and she must bear it as she could for he would eat of what he liked. And now that he was full of health again and free of the sickness of his love he could go to her and be finished with her and turn himself to other things."|"The Good Earth"|"Pearl S. Buck"
12:00|midday|"His uncle was sitting leaning over a table eating his breakfast, for he never rose until midday, seeing there was no work he had to do, and he looked up at these words and he said lazily,"|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"ONE DAY after Wang Lung had said to himself that peace was in his house, his eldest son came to him as he returned at noon from the land, and the lad said,"|"The Good Earth"|"Pearl S. Buck"
"ap 02:00"|two|"""It was a whim of his youth and he does not know what he wants and there are only three years---it may be a little extra silver will make it two, or even one, if the silver is enough. One of these days when the harvests are well over and the winter wheat planted and beans hoed, I will see to it."""|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"Then he went on and there was O-lan sitting sewing on some garment of his, and when he passed she said nothing, and if she had heard the beating and the screaming, she made no sign of it. And he went on and out to his fields and into the high sun of noon, and he was spent as with the labor of a whole day."|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"""He will see you when you wish and if you can come to drink wine this noon it is well, and if you wish it he will come here instead."""|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"But here was the uncle's son, this man, still unwed, and a wild beast for his desires, and he would not yield to opium easily as the two old ones had done and take out his lusts in dreams. And Wang Lung would not willingly let him wed in the house, because of the spawn he would breed and one like him was enough. Neither would the man work, since there was no need and none to drive him to it, unless the hours he spent away at night could be called work. But even these grew less frequent, for as men returned to the land order came back to the villages and to the town and the robbers withdrew to the hills in the northwest, and the man would not go with them, preferring to live on Wang Lung's bounty. Thus he was a thorn in the household and he hung about everywhere, talking and idling and yawning, and half dressed even at noon."|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"And although his noon meal stood ready for him to eat he would not take up his chopsticks, although Lotus called loudly to him to wait until after the evening sun came; he would not stay for her, and he went out. Then when Lotus saw he did not heed her she sent a slave after him with an umbrella of oiled paper, but so fast did Wang Lung run that the stout maid had difficulty in holding the umbrella over his head."|"The Good Earth"|"Pearl S. Buck"
12:00|noon|"Wang Lung heard of it first from his second son who came home from the market one day for his noon rice and he said to his father,"|"The Good Earth"|"Pearl S. Buck"
12:00|Noon|"The publication of her first article in the Atlantic, in 1923, confirmed a childhood interest in writing and led ultimately to her first novel, East Wind, West Wind. Less than a year later, the appearance of The Good Earth, established her reputation. The novel was an extraordinary best seller and was awarded the Pulitzer Prize, translated into more than thirty languages, and made into a play and a motion picture. After that she wrote over eighty books, including such famous novels as A House Divided, Dragon Seed, Pavilion of Women, and The Time is Noon."|"The Good Earth"|"Pearl S. Buck"
