23:59|"one minute before midnight"|"Before the dwarf could announce the time of the performance, before the crowd of youths could draw out their clubs, Frex leaped on the lower step of the thing—a fold-down stage on hinges. “Why is this thing called a clock? The only clock face it has is flat, dull, and lost in all that distracting detail. Furthermore, the hands don’t move: Look, see for yourselves! They’re painted to remain at one minute before midnight! All you’ll see here is mechanics, my friends: I know this for a fact. You’ll see mechanical cornfields growing, moons waxing and waning, a volcano to spew a soft red cloth done up with black and red sequins. With all this tiktok-y business, why not have a pair of circulating arms on the clock face? Why not? I ask you, I’m asking you, yes, you, Gawnette, and you, Stoy, and you, Perippa. Why no real clock here?”"|Wicked|"Gregory Maguire"
12:00|noon|"It was noon when the caravan pulled up to the edge of the Scrow camp. A committee of Scrow had ridden to their domestic margin, where the sand-colored tents petered out into untrampled grass—men and women alike sat on horseback, about seven or eight of them, in blue ribbons and ivory bangles. Also, obviously senior, was a huge slab of an old woman carried in a palanquin of some sort, its frame all hung round with tambours and clinking amulets and gauzy veils. She let the rafiqi and the tribal paladins trade compliments or insults. After a while she grunted a direction and her curtains were withdrawn so she could see. She had an overhung lip, so large that it doubled back on itself like an upside-down spout on a pitcher. Her eyes were ringed with kohl. On her shoulders sat two dyspeptic-looking crows. Their feet were shackled in gold links and attached to loops in her ornamental collar, into which the old woman had dribbled traces of the fruit she had been eating as she waited. Her shoulders were speckled with crow droppings."|Wicked|"Gregory Maguire"
"< 00:00"|"before midnight"|"Six pouted. “Well, it’s just a woman, then: so chicken or no? Tell me now so Four can hack off its head and get to plucking, or we won’t eat before midnight.”"|Wicked|"Gregory Maguire"
"~ 11:00"|elevenses|"A week passed before Sarima said to Three, “Please tell our Auntie Guest that I’d like to see her tomorrow for elevenses in the Solar.” Sarima thought that Elphaba had had enough time now to get the measure of things. The suffering green woman was in some sort of slow-motion thrall, or fit. She moved jerkily, stalking about the courtyard, or stamping in to meals as if trying to poke holes in the flooring with her heels. Her elbows were always bent at right angles, and her hands clenched and unclenched themselves."|Wicked|"Gregory Maguire"
12:00|midday|"They were walking in the apple orchard. A cloud of blossoms thickened the air with scent. The Witch’s bees were having a field day, humming throatily. Killyjoy sat wagging his tail in the shadow of Manek’s tombstone, placed near the wall. The crows had relay races overhead, scaring away all other birds except the eagles. Irji and Nor and Liir, at Nanny’s insistence, had been taken into the schoolroom of the village. Kiamo Ko was blissfully quiet until midday."|Wicked|"Gregory Maguire"
12:00|midday|"Nanny shaded her eyes and looked out over the mountains, which in the midday light looked like polished horn. “It’s too rich, to think of you being a Witch, after a fashion anyway, and your sister trying out as resident Saint. Who would have thought, back in those muddy years in the Quadling badlands? I don’t think you’re a Witch, whatever you say. But one thing I do want to know. Is Liir your son?”"|Wicked|"Gregory Maguire"
12:00|noon|"It was broad noon when she delivered them into the castle keep of Kiamo Ko. The sisters were in their summer laundry yard, beating carpets themselves because they didn’t trust the local scrubwives to treat them respectfully enough. The sound of boots on cobbles brought the sisters running through an archway, all flushed and dusty, hair wrapped in cotton scarves. Elphaba heard the noise, too, and threw her window open and stared. “Not an inch farther until I come down,” she called, “or I’ll turn you all to rodents. Nor, come away from them. All of you, come away.”"|Wicked|"Gregory Maguire"
00:00|midnight|"The earlier she went, the sooner she would return. And it would be better if no one know. So she told everyone she was taking a period of isolation in her tower, and she wanted neither food nor visitors for some days. When midnight struck, she set out for Colwen Grounds, now the home of her powerful sister."|Wicked|"Gregory Maguire"
12:00|noontime|"It was an achievement if Nanny could now make it to the dining room once a day. “That’s my job, that and sleeping, and Nanny does both very well,” she said every single noontime when she arrived, hungry from her exertions on the stairs. Liir put out the cheese and bread and the occasional cold joint, at which the three of them hacked and nibbled, usually in an unsocial mood, before darting off to their afternoon chores."|Wicked|"Gregory Maguire"
00:00|midnight|"She squirmed in the light of the moon, and at midnight, tortured by the thoughts of Nessa’s death—the physical fact of being squished like a bug finally taking on some imaginative shape in the Witch’s fantasies—she arose, and took a new path. Dorothy would no doubt follow the Yellow Brick Road to the Emerald City, and someone as exotic as she could be easily located anywhere along the route. The Witch would go and try to accomplish the task set out for herself fifteen years ago. Madame Morrible still waited to be killed."|Wicked|"Gregory Maguire"
12:00|noon|"“I had a walk at noon,” he said, “in the park, with my bodyguards, as usual. And I came across a carnival entertainment set up there. It opens tomorrow, I think, and the park will be mobbed with clever students, household servants and factory workers, and with greasy gabbling families from Little Glikkus. There were the usual cast of children caught up in the allure of a good circus act, mostly teenage boys helping out, no doubt having run away from tiresome families and small provincial towns. But the guy in charge was a bloody little dwarf.”"|Wicked|"Gregory Maguire"
12:00|noon|"At noon they sat down by the roadside, near a little brook, and Dorothy opened her basket and got out some bread. She offered a piece to the Scarecrow, but he refused."|Wicked|"Gregory Maguire"
12:00|noon|"So after that she took no food to the imprisoned Lion; but every day she came to the gate at noon and asked,"|Wicked|"Gregory Maguire"
12:00|noon|"When the four travellers went in search of the Witch she had seen them coming, and so sent the Winged Monkeys to bring them to her. It was much harder to find their way back through the big fields of buttercups and yellow daisies than it was being carried. They knew, of course, they must go straight east, toward the rising sun; and they started off in the right way. But at noon, when the sun was over their heads, they did not know which was east and which was west, and that was the reason they were lost in the great fields. They kept on walking, however, and at night the moon came out and shone brightly. So they lay down among the sweet-smelling yellow flowers and slept soundly until morning—all but the Scarecrow and the Tin Woodman."|Wicked|"Gregory Maguire"
"ap 09:04"|"four minutes after nine o’clock"|"The soldier had the news carried straight to Oz that Dorothy and the other travellers had come back again, after destroying the Wicked Witch; but Oz made no reply. They thought the Great Wizard would send for them at once, but he did not. They had no word from him the next day, nor the next, nor the next. The waiting was tiresome and wearing, and at last they grew vexed that Oz should treat them in so poor a fashion, after sending them to undergo hardships and slavery. So the Scarecrow at last asked the green girl to take another message to Oz, saying if he did not let them in to see him at once they would call the Winged Monkeys to help them, and find out whether he kept his promises or not. When the Wizard was given this message he was so frightened that he sent word for them to come to the Throne Room at four minutes after nine o’clock the next morning. He had once met the Winged Monkeys in the Land of the West, and he did not wish to meet them again."|Wicked|"Gregory Maguire"
"ap 09:00"|"nine o’clock"|"Promptly at nine o’clock the next morning the green-whiskered soldier came to them, and four minutes later they all went into the Throne Room of the Great Oz."|Wicked|"Gregory Maguire"
