12:00|Noon|"The pig-woman nodded. “They’ll all be black as pots, too, sired by Dark Noon.”"|Riddle-Master|"Patricia A. McKillip"
12:00|noon|"They flew in crow-shape for the next two weeks. The silent golden oak forest melted away at the edge of the backlands. The road turned, pushed northward through rich, dark forests of pine whose silence seemed undisturbed by the passage of centuries. It wound up dry rocky hills pounded the color of brass by the noon sun, bridged chasms through which silvery veins of water-flowing down from the Lungold Lakes flashed and roared against sheer walls of stone. Trees blurred endlessly together in the crows’ vision, ebbed toward a faint blue mist of mountains bordering the remote western edges of the backlands. By day the sun fired the sky a flawless, metallic blue. The night shook stars from one horizon to another, down to the rim of the world. The voices of the back-lands, of land and stone and ancient untamed wind, were too loud for sound. Beneath them lay a silence implacable as granite. Morgon felt it as he flew; he breathed it into his bones, sensed its strange, cold touch in his heart. He would grope away from it at first, reach into Raederle’s mind to share a vague, inarticulate language. Then the silence wore slowly into the rhythm of his flight and finally into a song. At last, when he scarcely remembered his own language and knew Raederle only as a dark, wind-sculpted shape, he saw the interminable trees part before them. In the distance, the great city founded by Ghisteslwchlohm sprawled against the shores of the first of the Lungold Lakes, glinting of copper and bronze and gold under the last rays of the sun."|Riddle-Master|"Patricia A. McKillip"
"< 00:00"|"near midnight"|"He went back into the ruins. This time, he opened himself completely to all the torment of the destruction and the lingering memories of a forgotten peace. His mind, like a faceted jewel, reflected all the shades of lingering power—from cracked stones, from an untouched page out of a spell book, from various ancient instruments he found near the dead: rings, strangely carved staffs, crystals with light frozen in them, skeletons of winged annuals he could not name. He sorted through all the various levels of power, found the source of each. Once, tracing a smoldering fire to its bed deep in a pool of melted iron, he detonated it accidentally and realized the iron itself had been some crucible of knowledge. The blast blew the crow six feet in the air and shook stones down from the ceiling. He had melted into the force automatically, not fighting it; the crow, squawking nervously, watched him shape himself back out of the solid stone he had blown himself into. He took it into his hands to soothe it, marveling at the intricacies of ancient wizardry. Everything his mind touched—wood, glass, gold, parchment, bone—held within it an ember of power. He explored patiently, exhaustingly, lighting a sliver of roof beam when it grew too dark to see. Finally, near midnight, when the crow was dozing on his shoulder, his mind strayed across the face of a door that did not exist."|Riddle-Master|"Patricia A. McKillip"
00:00|midnight|"The winds died at midnight. The rains slowed to a whisper, then faded. The clouds parted, loosing the stars cluster by cluster against a dazzling blackness. The unexpected silence found its way into Morgon’s crow-dreams. His eyes opened."|Riddle-Master|"Patricia A. McKillip"
12:00|noon|"“It’s noon. You’ve slept nearly two days. I missed you. I only had Hugin to talk to most of the time.”"|Riddle-Master|"Patricia A. McKillip"
00:00|midnight|"The great tower rose above the city, spiralling into night as he winged past it. He kept his mind empty of all thought, aware only of the smells of the wet earth, and the slow, weary rhythm of his flight. He did not stop until he had crossed the plain and the south border of Ymris and finally saw the midnight fires of Mathom’s army sprawled along the river near Trader’s Road. He descended then and found shelter among the thick, leafless oak. He did not move until morning."|Riddle-Master|"Patricia A. McKillip"
00:00|midnight|"15

      
    

    
      

      

      
    
  

  THE WALLS ROSE around him, circled him. Twelve windows opened through midnight blue stone to the restless, murmuring winds. He felt a touch and turned, startled back into his body."|Riddle-Master|"Patricia A. McKillip"
12:00|noon|"He drew himself out from under a snowdrift in the northern wastes one day, impelled south without quite knowing why. He shifted shapes all across the realm; no shape gave him peace. He passed spring as it came northward; the restlessness in him sharpened. The winds coming out of the west and south smelled of plowed earth and sunlight. They strung his wind-harp with gentler voices. He did not feel gentle. He shambled in bear-shape through forests, flung himself in falcon-shape across the noon sun as it crossed his path. He rode the bow of a trade-ship three days as it scudded and boomed across the sea, until the sailors, wary of his sea bird’s strange, still eyes, chased him away. He followed the Ymris coast, flying, crawling, galloping with wild horses until he reached the coast of Meremont. There he followed the scent of his memories to Wind Plain."|Riddle-Master|"Patricia A. McKillip"
"< 12:00"|"near noon"|"He carried the harp with him to the trade-hall at Tol, where the traders inspected his beer, grain and wool, ate cheese and fruit, and bartered for an hour with him while Grim Oakland stood watchfully at his elbow. Empty carts were brought to the dock then, to load metal, casks of wine, and blocks of salt from the beds above Caithnard. Plow horses to be taken to Herun and An were penned near the dock for loading; the traders began to tally the gram sacks and kegs of beer. Wyndon Amory’s carts lumbered down the coast road, unexpectedly, near noon."|Riddle-Master|"Patricia A. McKillip"
12:00|noon|"“We should reach the road by noon,” Astrin said. Morgon, the hem of his long robe drenched with dew, his eyes on the numberless trees as though he could see through them to a city he did not know, made an absent, answering noise. Crows flicked black through the distant branches; their harsh voices echoed back at him, mocking. He heard voices; a couple of traders, laughing, startled a tree full of birds as they rode through the early morning, their packs bulging. They came abreast of Morgon and Astrin; one of them stopped, bowing his head courteously."|Riddle-Master|"Patricia A. McKillip"
00:00|midnight|"“Do you think I’m witless, Astrin? I don’t have to ask where to find you or Rork Umber, or even the High One’s harpist, even at midnight. What Deth does is the High One’s business, but if you and Rork spent as much time concerning yourself with the problems at hand as you do exhausting yourselves guarding against an illusion in this room, I would feel easier about the fate of Caerweddin.”"|Riddle-Master|"Patricia A. McKillip"
12:00|noon|"His trek upriver was painfully slow. He stayed dangerously close to the water in order to see the faint, slate-grey glints of it; sometimes when everything melted before his eyes into one monotonous white blur, he would stop short, wondering if he had been threading his way along an illusion. His face and hands grew numb; the hair outside of his hood was icy. He lost all sense of time, not knowing if moments or hours had passed since he had started walking, not knowing whether it was noon or evening. He dreaded the coming of night."|Riddle-Master|"Patricia A. McKillip"
12:00|midday|"Hugin opened the door. A weak midday light stained the snow on the threshold. Har rose, his own hands trembling slightly. He said nothing, and Morgon, as familiar with the mind of the King as he was with his own, felt the panic die away, a stillness take its place. He went to the door, his steps halting, and leaned on the frame, breathing the wind, his limp hands staining his tunic. He felt an odd sorrow, as though he had turned away forever from something nameless in him. Har put a hand on his shoulder."|Riddle-Master|"Patricia A. McKillip"
00:00|midnight|"Morgon’s blood shocked through him, then slowed unbearably with the dull pound of his heart The jewelled walls pulsed around him in silent, flickering beats of light. He looked at Deth. The harpist stood quietly, the midnight eyes watching him dispassionately. He looked back at the High One, but the face remained undisguised by richness: the face of a Master of Caithnard he had known for three years and never known."|Riddle-Master|"Patricia A. McKillip"
