"ap 07:20"|seven-twenty|"Babbitt moaned, turned over, struggled back toward his dream. He could see only her face now, beyond misty waters. The furnace-man slammed the basement door. A dog barked in the next yard. As Babbitt sank blissfully into a dim warm tide, the paper-carrier went by whistling, and the rolled-up Advocate thumped the front door. Babbitt roused, his stomach constricted with alarm. As he relaxed, he was pierced by the familiar and irritating rattle of some one cranking a Ford: snap-ah-ah, snap-ah-ah, snap-ah-ah. Himself a pious motorist, Babbitt cranked with the unseen driver, with him waited through taut hours for the roar of the starting engine, with him agonized as the roar ceased and again began the infernal patient snap-ah-ah—a round, flat sound, a shivering cold-morning sound, a sound infuriating and inescapable. Not till the rising voice of the motor told him that the Ford was moving was he released from the panting tension. He glanced once at his favorite tree, elm twigs against the gold patina of sky, and fumbled for sleep as for a drug. He who had been a boy very credulous of life was no longer greatly interested in the possible and improbable adventures of each new day.
He escaped from reality till the alarm-clock rang, at seven-twenty.
"|Babbitt|"Sinclair Lewis"
12:00|noon|"The resolution made him feel exemplary. Immediately after it he decided that this noon it was too late to walk."|Babbitt|"Sinclair Lewis"
12:00|noon|"“Yeh, you’re right they are! Had to have coupla blankets last night, out on the sleeping-porch. Say, Sid,” Babbitt turned to Finkelstein, the buyer, “got something wanta ask you about. I went out and bought me an electric cigar-lighter for the car, this noon, and—”"|Babbitt|"Sinclair Lewis"
12:00|noon|"“Oh, I know! After spending all noon sneering at the conventional stuff, I’m conventional enough to be ashamed of saving my life by busting out with my fool troubles!”"|Babbitt|"Sinclair Lewis"
"ap 04:00"|"four o’clock"|"He answered telephone calls, he read the four o’clock mail, he signed his morning’s letters, he talked to a tenant about repairs, he fought with Stanley Graff."|Babbitt|"Sinclair Lewis"
"~ 16:30"|evensong|"Doane roused. “I’m hanged if it is! You make me sick, Kurt, with your perpetual whine about ‘standardization.’ Don’t you suppose any other nation is ‘standardized?’ Is anything more standardized than England, with every house that can afford it having the same muffins at the same tea-hour, and every retired general going to exactly the same evensong at the same gray stone church with a square tower, and every golfing prig in Harris tweeds saying ‘Right you are!’ to every other prosperous ass? Yet I love England. And for standardization—just look at the sidewalk cafés in France and the love-making in Italy!"|Babbitt|"Sinclair Lewis"
00:00|midnight|"Instantly he was in the magic dream. He was somewhere among unknown people who laughed at him. He slipped away, ran down the paths of a midnight garden, and at the gate the fairy child was waiting. Her dear and tranquil hand caressed his cheek. He was gallant and wise and well-beloved; warm ivory were her arms; and beyond perilous moors the brave sea glittered."|Babbitt|"Sinclair Lewis"
"ap 10:30"|ten-thirty|"At ten-thirty she telephoned to him not to forget the ice cream from Vecchia’s."|Babbitt|"Sinclair Lewis"
00:00|midnight|"Most agressively friendly of all was Babbitt, yet as he burbled he was reflecting, “I got through it, but for a while there I didn’t hardly think I’d last out.” He prepared to taste that most delicate pleasure of the host: making fun of his guests in the relaxation of midnight. As the door closed he yawned voluptuously, chest out, shoulders wriggling, and turned cynically to his wife."|Babbitt|"Sinclair Lewis"
12:00|noon|"“Yes, a fine figure you’d cut if I didn’t bully you! You’d lie abed till noon and play your idiotic fiddle till midnight! You’re born lazy, and you’re born shiftless, and you’re born cowardly, Paul Riesling—”"|Babbitt|"Sinclair Lewis"
00:00|midnight|"“Yes, a fine figure you’d cut if I didn’t bully you! You’d lie abed till noon and play your idiotic fiddle till midnight! You’re born lazy, and you’re born shiftless, and you’re born cowardly, Paul Riesling—”"|Babbitt|"Sinclair Lewis"
"ap 07:00"|seven|"“Well, it was late, and anyway, it went down on my expense-account—gosh, if I’d been paying it instead of the firm, I’d ’a’ tramped the streets all night before I’d ’a’ let any hick tavern stick me seven great big round dollars, believe me! So I lets it go at that. Well, the clerk wakes a nice young bellhop—fine lad—not a day over seventy-nine years old-fought at the Battle of Gettysburg and doesn’t know it’s over yet—thought I was one of the Confederates, I guess, from the way he looked at me—and Rip van Winkle took me up to something—I found out afterwards they called it a room, but first I thought there’d been some mistake—I thought they were putting me in the Salvation Army collection-box! At seven per each and every diem! Gosh!”"|Babbitt|"Sinclair Lewis"
00:00|midnight|"All morning they fished unenergetically, or tramped the dim and aqueous-lighted trails among rank ferns and moss sprinkled with crimson bells. They slept all afternoon, and till midnight played stud-poker with the guides. Poker was a serious business to the guides. They did not gossip; they shuffled the thick greasy cards with a deft ferocity menacing to the “sports;” and Joe Paradise, king of guides, was sarcastic to loiterers who halted the game even to scratch."|Babbitt|"Sinclair Lewis"
00:00|midnight|"At midnight, as Paul and he blundered to their cottage over the pungent wet grass, and pine-roots confusing in the darkness, Babbitt rejoiced that he did not have to explain to his wife where he had been all evening."|Babbitt|"Sinclair Lewis"
12:00|noon|"But it was to T. Cholmondeley Frink that Babbitt most often turned. He caught Frink at the club every noon, and demanded, while Frink looked hunted and evasive, “Say, Chum—youre a shark on this writing stuff—how would you put this sentence, see here in my manuscript—manuscript—now where the deuce is that?—oh, yes, here. Would you say ‘We ought not also to alone think?’ or ‘We ought also not to think alone?’ or—”"|Babbitt|"Sinclair Lewis"
00:00|midnight|"They met at the Union Station for the midnight train to Monarch. All of them, save Cecil Rountree, who was such a snob that he never wore badges, displayed celluloid buttons the size of dollars and lettered “We zoom for Zenith.” The official delegates were magnificent with silver and magenta ribbons. Martin Lumsen’s little boy Willy carried a tasseled banner inscribed “Zenith the Zip City—Zeal, Zest and Zowie—1,000,000 in 1935.” As the delegates arrived, not in taxicabs but in the family automobile driven by the oldest son or by Cousin Fred, they formed impromptu processions through the station waiting-room."|Babbitt|"Sinclair Lewis"
00:00|midnight|"The patient poor people waiting for the midnight train stared in unenvious wonder—Italian women with shawls, old weary men with broken shoes, roving road-wise boys in suits which had been flashy when they were new but which were faded now and wrinkled."|Babbitt|"Sinclair Lewis"
"ap 07:30"|"half-past seven"|"At half-past seven they sat in their room, with Elbert Wing and two up-state delegates. Their coats were off, their vests open, their faces red, their voices emphatic. They were finishing a bottle of corrosive bootlegged whisky and imploring the bell-boy, “Say, son, can you get us some more of this embalming fluid?” They were smoking large cigars and dropping ashes and stubs on the carpet. With windy guffaws they were telling stories. They were, in fact, males in a happy state of nature."|Babbitt|"Sinclair Lewis"
"ap 05:30"|five-thirty|"“Ladies and gentlemen of the Sixteenth Ward, there is one who cannot be with us here to-night, a man than whom there is no more stalwart Trojan in all the political arena—I refer to our leader, the Honorable Lucas Prout, standard-bearer of the city and county of Zenith. Since he is not here, I trust that you will bear with me if, as a friend and neighbor, as one who is proud to share with you the common blessing of being a resident of the great city of Zenith, I tell you in all candor, honesty, and sincerity how the issues of this critical campaign appear to one plain man of business—to one who, brought up to the blessings of poverty and of manual labor, has, even when Fate condemned him to sit at a desk, yet never forgotten how it feels, by heck, to be up at five-thirty and at the factory with the old dinner-pail in his hardened mitt when the whistle blew at seven, unless the owner sneaked in ten minutes on us and blew it early! (Laughter.) To come down to the basic and fundamental issues of this campaign, the great error, insincerely promulgated by Seneca Doane—”"|Babbitt|"Sinclair Lewis"
"ap 07:00"|seven|"“Ladies and gentlemen of the Sixteenth Ward, there is one who cannot be with us here to-night, a man than whom there is no more stalwart Trojan in all the political arena—I refer to our leader, the Honorable Lucas Prout, standard-bearer of the city and county of Zenith. Since he is not here, I trust that you will bear with me if, as a friend and neighbor, as one who is proud to share with you the common blessing of being a resident of the great city of Zenith, I tell you in all candor, honesty, and sincerity how the issues of this critical campaign appear to one plain man of business—to one who, brought up to the blessings of poverty and of manual labor, has, even when Fate condemned him to sit at a desk, yet never forgotten how it feels, by heck, to be up at five-thirty and at the factory with the old dinner-pail in his hardened mitt when the whistle blew at seven, unless the owner sneaked in ten minutes on us and blew it early! (Laughter.) To come down to the basic and fundamental issues of this campaign, the great error, insincerely promulgated by Seneca Doane—”"|Babbitt|"Sinclair Lewis"
"ap 09:45"|"quarter to ten"|"At a quarter to ten McKelvey discovered with profound regret that his wife had a headache. He said blithely, as Babbitt helped him with his coat, “We must lunch together some time, and talk over the old days.”"|Babbitt|"Sinclair Lewis"
"ap 10:30"|"half-past ten"|"When the others had labored out, at half-past ten, Babbitt turned to his wife, pleading, “Charley said he had a corking time and we must lunch—said they wanted to have us up to the house for dinner before long.”"|Babbitt|"Sinclair Lewis"
"ap 06:30"|six-thirty|"It was miserable from the beginning. The Overbrooks had dinner at six-thirty, while the Babbitts never dined before seven.  Babbitt permitted himself to be ten minutes late. “Let’s make it as short as possible. I think we’ll duck out quick. I’ll say I have to be at the office extra early to-morrow,” he planned."|Babbitt|"Sinclair Lewis"
"ap 07:00"|seven|"It was miserable from the beginning. The Overbrooks had dinner at six-thirty, while the Babbitts never dined before seven.  Babbitt permitted himself to be ten minutes late. “Let’s make it as short as possible. I think we’ll duck out quick. I’ll say I have to be at the office extra early to-morrow,” he planned."|Babbitt|"Sinclair Lewis"
"ap 10:00"|ten|"They had nothing more to say. Babbitt was sorry, but there was no hope; the dinner was a failure. At ten, rousing out of the stupor of meaningless talk, he said as cheerily as he could, “’Fraid we got to be starting, Ed. I’ve got a fellow coming to see me early tomorrow.” As Overbrook helped him with his coat, Babbitt said, “Nice to rub up on the old days! We must have lunch together, P.D.Q”"|Babbitt|"Sinclair Lewis"
"> 00:00"|"after midnight"|"Then he discovered a world of Sunday School journals, an enormous and busy domain of weeklies and monthlies which were as technical, as practical and forward-looking, as the real-estate columns or the shoe-trade magazines. He bought half a dozen of them at a religious book-shop and till after midnight he read them and admired."|Babbitt|"Sinclair Lewis"
"ap 10:00"|ten|"“Well, well, Zil, old dear, having a good loaf while hubby’s away? That’s the idea! I’ll bet a hat Myra never got up till ten, while I was in Chicago. Say, could I borrow your thermos—just dropped in to see if I could borrow your thermos bottle. We’re going to have a toboggan party—want to take some coffee mit. Oh, did you get my card from Akron, saying I’d run into Paul?”"|Babbitt|"Sinclair Lewis"
12:00|noon|"“Georgie! Listen! Paul’s in jail. He shot his wife, he shot Zilla, this noon. She may not live.”"|Babbitt|"Sinclair Lewis"
"ap 03:30"|three-thirty|"HE DROVE TO THE City Prison, not blindly, but with unusual fussy care at corners, the fussiness of an old woman potting plants. It kept him from facing the obscenity of fate. The attendant said, “Naw, you can’t see any of the prisoners till three-thirty—visiting-hour.”"|Babbitt|"Sinclair Lewis"
"ap 03:00"|three|"It was three. For half an hour Babbitt sat looking at a calendar and a clock on a whitewashed wall. The chair was hard and mean and creaky. People went through the office and, he thought, stared at him. He felt a belligerent defiance which broke into a wincing fear of this machine which was grinding Paul—Paul—"|Babbitt|"Sinclair Lewis"
"ap 03:00"|three|"It was three. For half an hour Babbitt sat looking at a calendar and a clock on a whitewashed wall. The chair was hard and mean and creaky. People went through the office and, he thought, stared at him. He felt a belligerent defiance which broke into a wincing fear of this machine which was grinding Paul—Paul—
Exactly at half-past three he sent in his name.
The attendant returned with “Riesling says he don’t want to see you.”"|Babbitt|"Sinclair Lewis"
"ap 03:30"|"half-past three"|"It was three. For half an hour Babbitt sat looking at a calendar and a clock on a whitewashed wall. The chair was hard and mean and creaky. People went through the office and, he thought, stared at him. He felt a belligerent defiance which broke into a wincing fear of this machine which was grinding Paul—Paul—
Exactly at half-past three he sent in his name.
The attendant returned with “Riesling says he don’t want to see you.”"|Babbitt|"Sinclair Lewis"
"ap 02:00"|two|"All day long after their departure he thought of the emancipated house in which he could, if he desired, go mad and curse the gods without having to keep up a husbandly front. He considered, “I could have a reg’lar party to-night; stay out till two and not do any explaining afterwards. Cheers!” He telephoned to Vergil Gunch, to Eddie Swanson. Both of them were engaged for the evening, and suddenly he was bored by having to take so much trouble to be riotous."|Babbitt|"Sinclair Lewis"
"ap 11:00"|"eleven o’clock"|"He had forgotten, next morning, that he was a conscious rebel, but he was irritable in the office and at the eleven o’clock drive of telephone calls and visitors he did something he had often desired and never dared: he left the office without excuses to those slave-drivers his employees, and went to the movies. He enjoyed the right to be alone. He came out with a vicious determination to do what he pleased."|Babbitt|"Sinclair Lewis"
12:00|noon|"“Hurray! George is peeved!” snickered Sidney Finkelstein, while a grin went round the table. Gunch revealed the shocking truth: He had seen Babbitt coming out of a motion-picture theater—at noon!"|Babbitt|"Sinclair Lewis"
12:00|noontime|"By noontime he was not so sure even of that. If in Miss McGoun, Louetta Swanson, and Ida he had failed to find the lady kind and lovely, it did not prove that she did not exist. He was haunted by the ancient thought that somewhere must exist the not impossible she who would understand him, value him, and make him happy."|Babbitt|"Sinclair Lewis"
"ap 09:00"|nine|"Joe reported at Babbitt’s cabin at nine the next morning. Babbitt greeted him as a fellow caveman:"|Babbitt|"Sinclair Lewis"
10:00|"ten that morning"|"The strikers had announced a parade for Tuesday morning, but Colonel Nixon had forbidden it, the newspapers said. When Babbitt drove west from his office at ten that morning, he saw a drove of shabby men heading toward the tangled, dirty district beyond Court House Square. He hated them, because they were poor, because they made him feel insecure. “Damn loafers! Wouldn’t be common workmen if they had any pep,” he complained. He wondered if there was going to be a riot. He drove toward the starting-point of the parade, a triangle of limp and faded grass known as Moore Street Park, and halted his car."|Babbitt|"Sinclair Lewis"
15:00|"three in the afternoon"|"MISS MCGOUN CAME INTO his private office at three in the afternoon with “Lissen, Mr. Babbitt; there’s a Mrs. Judique on the ’phone—wants to see about some repairs, and the salesmen are all out. Want to talk to her?”"|Babbitt|"Sinclair Lewis"
"ap 07:00"|seven|"Suddenly, at seven, brushing her cigarette away, brusquely taking her hand:"|Babbitt|"Sinclair Lewis"
00:00|midnight|"Nor did she withdraw her hand. He squeezed it, trembling, and blundered toward his coat. At the delicatessen he bought preposterous stores of food, chosen on the principle of expensiveness. From the drug store across the street he telephoned to his wife, “Got to get a fellow to sign a lease before he leaves town on the midnight. Won’t be home till late. Don’t wait up for me. Kiss Tinka good-night.” He expectantly lumbered back to the flat."|Babbitt|"Sinclair Lewis"
12:00|noon|"Till she went, four days later, she was curiously still, he cumbrously affectionate. Her train left at noon. As he saw it grow small beyond the train-shed he longed to hurry to Tanis."|Babbitt|"Sinclair Lewis"
"ap 02:00"|two|"When he went home, at two, he was fully a member of the Bunch, and all the week thereafter he was bound by the exceedingly straitened conventions, the exceedingly wearing demands, of their life of pleasure and freedom. He had to go to their parties; he was involved in the agitation when everybody telephoned to everybody else that she hadn’t meant what she’d said when she’d said that, and anyway, why was Pete going around saying she’d said it?"|Babbitt|"Sinclair Lewis"
"ap 10:00"|"ten o’clock"|"Never was a Family more insistent on learning one another’s movements than were the Bunch. All of them volubly knew, or indignantly desired to know, where all the others had been every minute of the week. Babbitt found himself explaining to Carrie or Fulton Bemis just what he had been doing that he should not have joined them till ten o’clock, and apologizing for having gone to dinner with a business acquaintance."|Babbitt|"Sinclair Lewis"
"ap 11:00"|eleven|"At eleven they all drove out to the Old Farm Inn. Babbitt sat in the back of Doppelbrau’s car with Louetta Swanson. Once he had timorously tried to make love to her. Now he did not try; he merely made love; and Louetta dropped her head on his shoulder, told him what a nagger Eddie was, and accepted Babbitt as a decent and well-trained libertine."|Babbitt|"Sinclair Lewis"
12:00|noontime|"He was even surer about it the morning after, when he was trying to be grave and paternal with his daughters at breakfast. At noontime he was less sure. He did not deny that he had been a fool; he saw it almost as clearly as at midnight; but anything, he struggled, was better than going back to a life of barren heartiness. At four he wanted a drink. He kept a whisky flask in his desk now, and after two minutes of battle he had his drink. Three drinks later he began to see the Bunch as tender and amusing friends, and by six he was with them ... and the tale was to be told all over."|Babbitt|"Sinclair Lewis"
00:00|midnight|"He was even surer about it the morning after, when he was trying to be grave and paternal with his daughters at breakfast. At noontime he was less sure. He did not deny that he had been a fool; he saw it almost as clearly as at midnight; but anything, he struggled, was better than going back to a life of barren heartiness. At four he wanted a drink. He kept a whisky flask in his desk now, and after two minutes of battle he had his drink. Three drinks later he began to see the Bunch as tender and amusing friends, and by six he was with them ... and the tale was to be told all over."|Babbitt|"Sinclair Lewis"
"ap 04:00"|four|"He was even surer about it the morning after, when he was trying to be grave and paternal with his daughters at breakfast. At noontime he was less sure. He did not deny that he had been a fool; he saw it almost as clearly as at midnight; but anything, he struggled, was better than going back to a life of barren heartiness. At four he wanted a drink. He kept a whisky flask in his desk now, and after two minutes of battle he had his drink. Three drinks later he began to see the Bunch as tender and amusing friends, and by six he was with them ... and the tale was to be told all over."|Babbitt|"Sinclair Lewis"
"ap 06:00"|six|"He was even surer about it the morning after, when he was trying to be grave and paternal with his daughters at breakfast. At noontime he was less sure. He did not deny that he had been a fool; he saw it almost as clearly as at midnight; but anything, he struggled, was better than going back to a life of barren heartiness. At four he wanted a drink. He kept a whisky flask in his desk now, and after two minutes of battle he had his drink. Three drinks later he began to see the Bunch as tender and amusing friends, and by six he was with them ... and the tale was to be told all over."|Babbitt|"Sinclair Lewis"
12:00|noon|"Next morning he hated himself that he should have sunk into a position where a fifteenth-rater like Fulton Bemis could rebuke him. He perceived that, since he was making love to every woman possible, Tanis was no longer his one pure star, and he wondered whether she had ever been anything more to him than A Woman. And if Bemis had spoken to him, were other people talking about him? He suspiciously watched the men at the Athletic Club that noon. It seemed to him that they were uneasy. They had been talking about him then? He was angry. He became belligerent. He not only defended Seneca Doane but even made fun of the Y.M.C.A. Vergil Gunch was rather brief in his answers."|Babbitt|"Sinclair Lewis"
"ap 04:00"|"four o’clock"|"He was relieved when he put Tanis on a trolley; he was cheerful in the familiar simplicities of his office.
At four o’clock Vergil Gunch called on him.
Babbitt was agitated, but Gunch began in a friendly way:"|Babbitt|"Sinclair Lewis"
22:00|"ten that evening"|"By the time he had finished his stint of lying they were firmly bound again. By ten that evening it seemed improbable that she had ever been away. There was but one difference: the problem of remaining a respectable husband, a Floral Heights husband, yet seeing Tanis and the Bunch with frequency. He had promised to telephone to Tanis that evening, and now it was melodramatically impossible. He prowled about the telephone, impulsively thrusting out a hand to lift the receiver, but never quite daring to risk it. Nor could he find a reason for slipping down to the drug store on Smith Street, with its telephone-booth. He was laden with responsibility till he threw it off with the speculation: “Why the deuce should I fret so about not being able to ’phone Tanis? She can get along without me. I don’t owe her anything. She’s a fine girl, but I’ve given her just as much as she has me.... Oh, damn these women and the way they get you all tied up in complications!”"|Babbitt|"Sinclair Lewis"
15:00|"three P.M."|"“Interesting! Cranky old dames that want to know why I haven’t rented their dear precious homes for about seven times their value, and bunch of old crabs panning the everlasting daylights out of me because they don’t receive every cent of their rentals by three P.M. on the second of the month! Sure! Interesting! Just as interesting as the small pox!”"|Babbitt|"Sinclair Lewis"
12:00|noon|"Colonel Snow condescended, “Oh, no, I’m not exaggerating! Why the doctor here heard you cussing out and defaming one of the finest types of Republican congressmen, just this noon! And you have entirely the wrong idea about ‘thinking over joining.’ We’re not begging you to join the G.C.L.—we’re permitting you to join. I’m not sure, my boy, but what if you put it off it’ll be too late. I’m not sure we’ll want you then. Better think quick—better think quick!”"|Babbitt|"Sinclair Lewis"
"ap 03:00"|three|"He woke at three, roused by a passing motor, and struggled out of bed for a drink of water. As he passed through the bedroom he heard his wife groan. His resentment was night-blurred; he was solicitous in inquiring, “What’s the trouble, hon?”"|Babbitt|"Sinclair Lewis"
12:00|noontime|"The doctor was youngish and professionally breezy. He came in as though it were sunny noontime. “Well, George, little trouble, eh? How is she now?” he said busily as, with tremendous and rather irritating cheerfulness, he tossed his coat on a chair and warmed his hands at a radiator. He took charge of the house. Babbitt felt ousted and unimportant as he followed the doctor up to the bedroom, and it was the doctor who chuckled, “Oh, just little stomach-ache” when Verona peeped through her door, begging, “What is it, Dad, what is it?”"|Babbitt|"Sinclair Lewis"
"ap 10:15"|"quarter after ten"|"Under this derision Babbitt became more matter-of-fact. He drove to the office, tried to dictate letters, tried to telephone and, before the call was answered; forgot to whom he was telephoning. At a quarter after ten he returned home. As he left the down-town traffic and sped up the car, his face was as grimly creased as the mask of tragedy."|Babbitt|"Sinclair Lewis"
12:00|noon|"One noon Vergil Gunch suggested, “You planning to be at the hospital about six? The wife and I thought we’d drop in.” They did drop in. Gunch was so humorous that Mrs. Babbitt said he must “stop making her laugh because honestly it was hurting her incision.” As they passed down the hall Gunch demanded amiably, “George, old scout; you were soreheaded about something, here a while back. I don’t know why, and it’s none of my business. But you seem to be feeling all hunky-dory again, and why don’t you come join us in the Good Citizens’ League, old man? We have some corking times together, and we need your advice.”"|Babbitt|"Sinclair Lewis"
"ap 09:45"|"quarter of  ten"|"“Well, I’ll tell you. I’ve got a deputation from the Don’t Make Prohibition a Joke Association coming to see me in a quarter of an hour, and one from the Anti-Birth-Control Union at a quarter of  ten.” He busily glanced at his watch. “But I can take five minutes off and pray with you. Kneel right down by your chair, brother. Don’t be ashamed to seek the guidance of God.”"|Babbitt|"Sinclair Lewis"
"ap 11:30"|"half-past eleven"|"On Saturday evening he took Eunice Littlefield to a dance at Devon Woods. Babbitt had a glimpse of her, bouncing in the seat of the car, brilliant in a scarlet cloak over a frock of thinnest creamy silk. They two had not returned when the Babbitts went to bed, at half-past eleven. At a blurred indefinite time of late night Babbitt was awakened by the ring of the telephone and gloomily crawled down-stairs. Howard Littlefield was speaking:"|Babbitt|"Sinclair Lewis"
00:00|midnight|"“They ought to be home. Eunice said the dance would be over at midnight. What’s the name of those people where they’re going?”"|Babbitt|"Sinclair Lewis"
"ap 09:00"|"nine o’clock"|"By nine o’clock the assembly which was gathered about Ted and Eunice in the living-room included Mr. and Mrs. George Babbitt, Dr. and Mrs. Howard Littlefield, Mr. and Mrs. Kenneth Escott, Mr. and Mrs. Henry T. Thompson, and Tinka Babbitt, who was the only pleased member of the inquisition."|Babbitt|"Sinclair Lewis"
