"ap 05:09"|"Five nine"|"“How tall are you, Renault?”
“Five nine,” he gasped, still fighting for breath.
“Weight?”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Their eyes met, held. A showdown now? At this moment? Would that be the smart thing to do? Archie believed in always doing the smart thing. Not the thing you ached to do, not the impulsive act, but the thing that would pay off later. That’s why he was The Assigner. That’s why The Vigils depended on him. Hell, The Vigils were the school. And he, Archie Costello, was The Vigils. That’s why Leon had called him here, that’s why Leon was practically begging for his help. Archie suddenly had a terrific craving for a Hershey."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“The Vigils will help,” Archie said, unable to contain himself any longer. He had never been able to use those words—The Vigils—aloud to a teacher, had had to deny the existence of the organization for so long that it was beautiful to use them, to see the surprise on Leon’s pale perspiring face."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Someone snickered. Archie stiffened, shot a look at Carter, a withering look that said, tell them to cut the crap. Carter snapped his fingers, which sounded in the quiet storage room like the banging of a gavel. The Vigils were grouped as usual in a circle around Archie and the kid receiving the assignment. The small room behind the gym was windowless with only one door leading to the gymnasium itself: a perfect spot for Vigil meetings—private, the solitary entrance easily guarded, and dim, lit by a single bulb dangling from the ceiling, a 40-watt bulb that bestowed only a feeble light on the proceedings. The silence was deafening after the snap of Carter’s fingers. Nobody fooled around with Carter. Carter was the president of The Vigils because the president was always a football player—the muscle someone like Archie needed. But everyone knew that the head of The Vigils was The Assigner, Archie Costello, who was always one step ahead of them all."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Archie let it gather. He could feel a heightening of interest in the room. It always happened this way when an assignment was about to be given. He knew what they were thinking—what’s Archie come up with this time? Sometimes Archie resented them. The members of The Vigils did nothing but enforce the rules. Carter was muscle and Obie an errand boy. Archie alone was always under pressure, devising the assignments, working them out. As if he was some kind of machine. Press a button: out comes an assignment. What did they know about the agonies of it all? The nights he tossed and turned? The times he felt used up, empty? And yet he couldn’t deny that he exulted in moments like this, the guys leaning forward in anticipation, the mystery that surrounded them all, the kid Goober white-faced and frightened, the place so quiet you could almost hear your own heartbeat. And all eyes on him: Archie."|"The Chocolate War"|"Robert Cormier"
"> 15:00"|"after three in the afternoon"|"“The school will be deserted. The brothers, most of them, the ones who count, will be off to a conference at Provincial headquarters in Maine. The janitor is taking a day off. There’ll be no one in the building after three in the afternoon. No one but you, Goober. You and your screwdriver.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"The Goober nodded, accepting the assignment like a sentence of doom, the way all the others did, knowing there was no way out, no reprieve, no appeal. The law of The Vigils was final, everyone at Trinity knew that."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Emile looked up suspiciously, on guard. He was never sure whether Archie Costello was serious or not. Emile never fooled around with Archie. In fact, Archie was one of the few people in the world Emile respected. Maybe even feared. Archie and The Vigils."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Emile Janza watched the departing figure of Archie Costello. Someday, he’d be like Archie—cool, a member of The Vigils. Emile kicked at the rear tire of Carlson’s car. Somehow he was disappointed that Carlson hadn’t caught him siphoning the gas."|"The Chocolate War"|"Robert Cormier"
15:00|"three o’clock this afternoon"|"He knew that he was in the real world at this moment, of course. Everything was real enough. The screwdrivers and the pliers were real. So were the desks and chairs and the blackboards. So was the world outside, a world he had been shut away from since three o’clock this afternoon when he had sneaked into the school. Now the world had changed, had grown blurred with day’s leaving and then purple at dusk and then dark. It was now nine o’clock and The Goober sat on the floor, his head against a desk, angry at his damp cheeks. His eyes stung from strain. The Vigils said he was allowed to put on the small emergency night light each classroom was furnished. A flashlight was forbidden because it might look suspicious to outsiders. The Goober had found the job almost impossible. He had been in the classroom six hours and had only finished two rows of desks and chairs. The screws were stubborn, most of them factory-tight, resisting the twists of the screwdriver."|"The Chocolate War"|"Robert Cormier"
"ap 09:00"|"nine o’clock"|"He knew that he was in the real world at this moment, of course. Everything was real enough. The screwdrivers and the pliers were real. So were the desks and chairs and the blackboards. So was the world outside, a world he had been shut away from since three o’clock this afternoon when he had sneaked into the school. Now the world had changed, had grown blurred with day’s leaving and then purple at dusk and then dark. It was now nine o’clock and The Goober sat on the floor, his head against a desk, angry at his damp cheeks. His eyes stung from strain. The Vigils said he was allowed to put on the small emergency night light each classroom was furnished. A flashlight was forbidden because it might look suspicious to outsiders. The Goober had found the job almost impossible. He had been in the classroom six hours and had only finished two rows of desks and chairs. The screws were stubborn, most of them factory-tight, resisting the twists of the screwdriver."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"He knew that he was in the real world at this moment, of course. Everything was real enough. The screwdrivers and the pliers were real. So were the desks and chairs and the blackboards. So was the world outside, a world he had been shut away from since three o’clock this afternoon when he had sneaked into the school. Now the world had changed, had grown blurred with day’s leaving and then purple at dusk and then dark. It was now nine o’clock and The Goober sat on the floor, his head against a desk, angry at his damp cheeks. His eyes stung from strain. The Vigils said he was allowed to put on the small emergency night light each classroom was furnished. A flashlight was forbidden because it might look suspicious to outsiders. The Goober had found the job almost impossible. He had been in the classroom six hours and had only finished two rows of desks and chairs. The screws were stubborn, most of them factory-tight, resisting the twists of the screwdriver."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"I’ll never get done, he thought. I’ll be here all night and my folks will go crazy and it still won’t be done. He envisioned himself being discovered here tomorrow morning, collapsed in exhaustion, a disgrace to himself and The Vigils and the school. He was hungry and had a headache and felt that everything would be all right if he could only get out of here and run, hurtle himself through the streets, free from the terrible assignment."|"The Chocolate War"|"Robert Cormier"
15:30|"three-thirty in the afternoon"|"JERRY’S MOTHER HAD DIED in the spring. They had been staying up with her nights—his father and some of his uncles and aunts and Jerry himself—since her return from the hospital. They came and went in shifts that final week, everyone exhausted and mute with sadness. Nothing more could be done for her at the hospital and she was taken home to die. She’d loved her home so much, always had some project underway—wallpapering, painting, refinishing furniture. “Give me twenty workers like her and I’d open a small factory and make a million,” his father used to joke. And then she got sick. And died. Watching her ebb away, seeing her beauty diminish, witnessing the awful alteration of her face and body was too much for Jerry to bear and he sometimes fled her bedroom, ashamed of his weakness, avoiding his father. Jerry wished he could be as strong as his father, always in control, masking his sorrow and grief. When his mother finally died, suddenly, at three-thirty in the afternoon, slipping off quietly without a murmur, Jerry was overcome with rage, a fiery anger that found him standing at her coffin in silent fury. He was angry at the way the disease had ravaged her. He was angry at his inability to do anything about saving her. His anger was so deep and sharp in him that it drove out sorrow. He wanted to bellow at the world, cry out against her death, topple buildings, split the earth open, tear down trees. And he did nothing except lie awake in the dark, thinking of her body there in the funeral home, not her anymore, but a thing suddenly, cold and pale. His father was a stranger during those terrible days, like a sleepwalker going through the motions, like a puppet being maneuvered by invisible strings. Jerry felt hopeless and abandoned, all tight inside. Even at the cemetery, they stood apart from each other, a huge distance between them even though they were side by side. But not touching. And then, at the end of the service, as they turned to leave, Jerry found himself in his father’s arms, his face pressed close to his father’s body, smelling the cigarette tobacco, the faint odor of peppermint mouthwash, that familiar smell that was his father. There in the cemetery, clinging to each other in mutual sorrow and loss, the tears came for both of them. Jerry didn’t know where his own tears began and his father’s left off. They wept without shame, out of a nameless need, and walked together afterward, arm in arm, toward the waiting car. The fiery knot of anger had come undone, unraveled, and Jerry realized as they drove back from the cemetery that something worse had taken its place—emptiness, a yawning cavity like a hole in his chest."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"LATER, ARCHIE HAD TO CONCEDE that Brother Leon had dramatized the sale too vividly and therefore put himself and The Vigils and the entire school on the spot."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"There was a lot more but Archie tuned him out. Talk, talk, talk—that’s all anybody ever heard in school. Archie squirmed uncomfortably in his seat, thinking of the Vigil meeting at which he had announced that Brother Leon had asked support for the sale and how he’d pledged the backing of The Vigils. Archie had been surprised at the ripple of doubt and skepticism from the members of The Vigils. “Christ, Archie,” Carter had said, “we never get mixed up in this stuff.” But Archie had overcome them as usual, pointing out that Leon’s need for an endorsement from The Vigils was a symbol of how powerful the organization had become. And it was only a crappy chocolate sale. But now, listening to Leon sounding as if the school was embarking on the Crusades, for crying out loud, Archie was doubtful."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Looking at the posters and seeing his own name there, Archie plotted how his own fifty boxes would be sold. He wouldn’t dream of selling the chocolates himself. He hadn’t touched a box since his freshman days. Usually he found some willing kid who’d gladly sell Archie’s quota along with his own, figuring it was something special to be singled out by the assigner of The Vigils. This year, he’d probably spread the burden around, picking out five guys, say, and have them sell only ten boxes each. It was better than sticking one kid with the entire quota, wasn’t it?"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“The Vigils,” somebody else called out—giving credit where credit was due."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"When he returned to the school after practice, he found a letter scotch-taped to the door of his locker. A summons from The Vigils. Subject: Assignment."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Everyone could see that Brother Leon was enjoying himself. This is what he liked—to be in command and everything going smoothly, the students responding to their names smartly, accepting the chocolates, showing school spirit. The Goober was depressed, thinking about school spirit. Ever since Room Nineteen had collapsed, he had lived in a state of mild shock. He awoke each morning depressed, knowing even before he opened his eyes that something was wrong, something had gone askew in his life. And then he’d remember: Room Nineteen. The first day or two had been kind of exciting. Word had gotten around that the destruction of Room Nineteen was the result of his assignment by The Vigils. Although no one mentioned the subject to him, he found himself a kind of underground hero. Even the seniors looked at him with awe and respect. Guys patted him on the ass when he passed by, an old Trinity mark of distinction. But as the days went on, an uneasiness stole across the campus. There were rumors. The place was always filled with rumors but this time they grew out of the Room Nineteen incident. The chocolate sale was postponed for a week and Brother Leon, speaking at chapel, gave a weak explanation. The Head was hospitalized, there was a lot of paperwork involved, etc. etc. There were also rumors that Leon was carrying on a quiet investigation of Room Nineteen. Poor Brother Eugene had not been seen since that devastating morning. He’d had a nervous breakdown, someone said. Others reported that there had been a death in his family and he’d been called away. Anyway, it all heaped itself upon The Goober and he found it hard to sleep at night. Despite the adulation of the guys at school, he felt as if there was some kind of distance between him and the fellows. They admired him, sure, but didn’t want to get too close in case something backfired. One afternoon, he’d met Archie Costello in the corridor and Archie had pulled him aside. “If they call you in for questioning, you know nothing,” Archie said. Goober had no way of knowing this was the kind of thing Archie loved to do—intimidate someone, get him worrying. Since then, The Goober had walked around in a state of apprehension, expecting to see his name on a Wanted sign on the bulletin board, for crying out loud. He didn’t want the adulation of the fellows anymore—he simply wanted to be The Goober, to play football and to run in the morning. He dreaded a summons from Brother Leon, wondering if he could stand up under questioning, whether he could look into those moist eyes of Brother Leon’s and actually lie to him."|"The Chocolate War"|"Robert Cormier"
"ap 02:50"|Two-fifty|"Tubs’ left arm began to ache from the weight of the chocolates and he shifted his burden to his other arm, taking a moment to pat the reassuring bulge of his wallet. He had already sold three boxes—six dollars—but that wasn’t enough, of course. He was still desperate. He needed a hell of a lot more by tonight and nobody but nobody had bought any chocolates at the last six houses he’d visited. He had saved every cent he could from his allowance and had even sneaked a folded and greasy dollar bill from his father’s pocket last night when he arrived home, half-drunk and wobbly. He hated doing that—stealing from his own father. He vowed to return the money to him as soon as possible. When would that be? Tubs didn’t know. Money, money, money had become the constant need of his life, money and his love for Rita. His allowance barely made it possible for him to take her to the movies and for a coke afterward. Two-fifty each for the movies, fifty cents for two cokes. And his parents hated her for some reason. He had to sneak out to meet her. He had to make phone calls from Ossie Baker’s house. She’s too old for you, his mother said, when actually Tubs himself was six months older. All right, she looks old, his mother said. What his mother should have said was, she looks beautiful. She was so beautiful that she made Tubs all shaky inside, like an earthquake going on. At night in bed, he could have one without even touching himself, just thinking of her. And now her birthday was tomorrow and he had to buy her the present she wanted, the bracelet she’d seen in the window of Black’s downtown, that terrible and beautiful bracelet all sparkles and radiance, terrible because of the price tag: $18.95 plus tax. “Hon,”—she never called him Tubs—“that’s what I want most in all the world.” Jesus—$18.95 plus the 3 per cent sales tax which Tubs figured out would make a grand total of $19.52, the sales tax amounting to fifty-seven cents. He knew that he didn’t have to buy her the bracelet."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Brother Leon had “volunteered” Brian Cochran for the position of Treasurer of the Chocolate Sale. Which meant that he’d looked around the classroom, pinned those watery eyes on Brian, pointed his finger and, voilà, as Brother Aimé said in French class, Brian was treasurer. He hated the job because he lived in fear of Brother Leon. You never knew about Leon. Brian was a senior and he’d had Leon as either a classroom teacher or as homeroom supervisor for four years and he was still uncomfortable in his presence. The teacher was unpredictable and yet predictable at the same time, which reasoning confused Brian because he wasn’t exactly a hotshot in the psychology department. It was this: you knew that Leon would always do the unexpected—wasn’t that being both predictable and unpredictable? He loved to toss surprise exams at a class—and he also could suddenly be the nice guy, not giving a test for weeks or giving a test and then throwing away the results. Or concocting a pass-fail test—he was famous for that type—where he threaded together questions that could throw a guy for a loss, with what seemed like a million possible answers. He was also quite a man with the pointer although he usually confined that kind of stuff to freshmen. If he ever pulled the pointer antics with, say, somebody like Carter, there’d be hell to pay. But not everybody was John Carter, president of The Vigils, All-Star Guard on the football team, and president of the Boxing Club. How Brian Cochran would love to be like John Carter, with muscles instead of glasses, quick with boxing gloves instead of figures."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Archie smiled, knowing what Janza planned. Janza considered himself a candidate for The Vigils and he was always trying to impress Archie."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“Funny thing about Jerry Renault,” Caroni heard himself saying. And then instinct caused him to add, “But I’m sure you know what it’s all about, Brother Leon. The Vigils. The assignment …”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“It’s a Vigil stunt. He’s supposed to refuse to sell chocolates for ten days—ten school days—and then accept them. Boy, those Vigils, they’re really something, aren’t they?” His head was killing him and his stomach was a sea of nausea."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“I just can’t. I’m committed now.”
“The goddam Vigils,” Goober said.
Jerry had never heard Goober swear before. He’d always been a mild kind of kid, rolling with the punches, loose and carefree, running around the track while the other kids sat uptight during practice sessions."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Jerry had never heard Goober swear before. He’d always been a mild kind of kid, rolling with the punches, loose and carefree, running around the track while the other kids sat uptight during practice sessions.
“It’s not The Vigils, Goob. They’re not in it anymore. It’s me.”
They stopped at Jerry’s locker."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Obie watched the teacher sourly. Brother Jacques was obviously bewildered. Bewildered? Hell, he was on the edge of panic. The ritual had been going on for a week now and it would continue until the cue was heard no more. In the meantime, the class would suddenly erupt into a confusion of waving arms and jogging legs, unsettling poor Brother. Of course, Brother Jacques was easy to unsettle—he was new and young and sensitive, raw meat for Archie. And he evidently didn’t know what to do about it and so he didn’t do anything, figuring apparently that the thing would run its course and why risk a futile showdown when it was obviously a prank. What else could it be? Funny, Obie thought, how everybody—the kids as well as the teachers—knew these stunts were planned or carried out by The Vigils and yet they still maintained that air of mystery, refusing to acknowledge it all. He wondered why. Obie had been involved in so many Vigil assignments that he’d lost count of them and he was continually amazed at how they got away with it all the time. In fact, he’d been getting tired of the assignments, of playing nursemaid for Archie and his trigger man as well. He was tired of being the fixer, making certain the assignment went off on schedule in order to maintain Archie’s big shot reputation. Like the Room Nineteen assignment when he’d had to creep in there and help the kid Goober take the place apart—all that work so that Archie and The Vigils would look good. Even this particular assignment involved him—if Brother Jacques failed to come up with the cue, then Obie had to find a way to feed it to him."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Obie had nodded, disguising his disgust. What the hell was Archie involving him in an assignment at this stage of the game for? He was a senior, for crying out loud. He was secretary of the goddam Vigils, for crying out loud. Jesus, how he hated Archie, that bastard."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“Yeah. He came flat out and said he wasn’t going to sell the junk.”
“I thought it was a Vigils thing,” Danny said tentatively.
“It was,” Kevin said, leering in triumph as his mother gave up and went into the kitchen. “But now it’s something else.” He wondered whether he was saying too much. “He was supposed to take the chocolates a couple of days ago. The assignment was over. But he still refused to take them.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"An awkward silence fell between them. Kevin was in line to become a member of The Vigils next year when he became a junior. No one could be sure, of course, but there had been some hints from the guys. His best friend, Danny, knew about the possibility—and he also knew that there was a certain secrecy about The Vigils that had to be maintained. They usually avoided Vigil talk although Kevin often had inside information about assignments and stuff and he often fed it to Danny in bits and pieces, finding it hard not to show off a bit. Yet he was always afraid that Danny might say something about The Vigils to some other guys, strictly by accident, and screw up the whole situation. They had reached that point now in their conversation."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“I don’t know,” Kevin said truthfully. “Maybe The Vigils will take some action. Maybe they don’t give a hell. But I’ll tell you one thing.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"But at this minute he was getting annoyed with Obie. Where the hell was he? Sitting down on one of the bleacher seats, Archie found a sudden and unexpected peace in the deserted gymnasium. His moments of peace were becoming less frequent all the time. The Vigils—those assignments, the constant pressure. More assignments due and everybody waiting for what Archie would come up with. And Archie hollow and empty sometimes, no ideas at all. And his lousy marks. He was certain to flunk English this term, simply because English was mostly reading and he didn’t have time anymore to spend four or five hours every night reading a lousy book. Anyway, between The Vigils and worrying about his marks, he didn’t seem to have any time to himself anymore, not even time for girls, no time to hang around Miss Jerome’s, the girls’ high school across town where, when school let out for the day, you could let your eyes devour some luscious sights and usually talk one of them into the car, for a ride home. With detours. Instead, here he was every day, involved with assignments and homework, juggling all this activity and then getting stupid notes from Obie. Meet me in the gym …"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“Well, there’s all kinds of rumors around the school. First of all, a lot of kids think that The Vigils are in on the deal, that Renault still isn’t selling them because he’s still carrying out the assignment. Then there are some kids who know the assignment is over and think that Renault is leading some kind of revolt against the sale. They say Brother Leon is climbing the wall every day …”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“We’ll see, we’ll see,” Archie said. “I don’t know whether The Vigils should get involved or not.” He yawned."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"That phony yawn irritated Obie. “Hey, look, Archie. The Vigils are involved whether you know it or not.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“Look, you told the kid to refuse the chocolates in the first place. That’s what started all this stuff. But the kid went beyond that. He was supposed to start selling after the assignment was over. So, now he’s defying The Vigils. And a lot of guys know that. We are involved, Archie, whether we want to be or not.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Obie could see that he had scored. He saw something flash in Archie’s eyes, like looking at a blank window and observing a ghost peeking out.
“Nobody defies The Vigils, Obie …”
“That’s what Renault’s doing.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Archie had that dreamy look again and his lower lip drooped. “Here’s what to do. Arrange to have Renault appear before The Vigils. Check up on the sale—get the totals, facts and figures.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“Right,” Obie said, writing in his notebook. As much as he hated Archie, he loved to see him when he was swinging into action. Obie decided to add more fuel to the flames. “Another thing, Archie. Didn’t The Vigils promise Leon way back they’d back him in the chocolate sale?”"|"The Chocolate War"|"Robert Cormier"
00:00|midnight|"“Look, Jerry. There’s something rotten in that school. More than rotten.” He groped for the word and found it but didn’t want to use it. The word didn’t fit the surroundings, the sun and the bright October afternoon. It was a midnight word, a howling wind word."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“The Vigils?” Jerry asked. He’d lain back on the lawn and was looking at the blue sky, the hurrying autumn clouds."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“Perhaps you should begin with Renault,” Leon said. “I think he should be made to say ‘yes’ instead of ‘no.’ I’m convinced, Archie, that he’s become a symbol to those who would like to see the sale defeated. The malingerers, the malcontents—they always rally around a rebel. Renault must sell the chocolates. And you, The Vigils—yes, I’m saying the name aloud—The Vigils must throw their full weight behind the sale …”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“I’ll make it clear, Archie. If the sale goes down the drain, you and The Vigils also go down the drain. Believe me …”"|"The Chocolate War"|"Robert Cormier"
"ap 02:30"|tWO-THirTy|"THE SUMMONS LOOKED like a ransom note—letters cut out of a newspaper or magazine. vIgiL MeEtinG tWO-THirTy. The wackiness of the note, those crazy letters, made it seem childish and ridiculous. But that same touch of the childish also gave it an air of something not quite rational, faintly threatening and mocking. That was the special quality of The Vigils, of course, and Archie Costello."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"THE SUMMONS LOOKED like a ransom note—letters cut out of a newspaper or magazine. vIgiL MeEtinG tWO-THirTy. The wackiness of the note, those crazy letters, made it seem childish and ridiculous. But that same touch of the childish also gave it an air of something not quite rational, faintly threatening and mocking. That was the special quality of The Vigils, of course, and Archie Costello."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Thirty minutes later, Jerry stood before The Vigils in the storage room. The nearby gym was occupied by fellows either practicing basketball or boxing calisthenics and the walls echoed with thuddings, bouncings and whistles blowing, like a grotesque sound track. Nine or ten Vigil members were present, including Carter who was getting tired of this Vigil crap, especially when it meant he had to miss boxing, and Obie who looked forward to the meeting with pleasure, wondering how Archie would proceed. Archie sat behind the card table. The table was covered with a scarf of purple and gold—the school colors. In the exact center of the table: a box of chocolates."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Archie raised his hands and silence fell. Someone in the gym fell against the wall and shouted an obscenity. Obie marveled at the way Archie ran the meetings and how The Vigils quickly took his cues. Porter hadn’t sold ten boxes, if any at all. Obie himself had only sold sixteen but had called out forty-five."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“Renault,” Archie said, friendly, his voice conversational. “I’ll tell you something. Nothing’s personal here in The Vigils. No secrets here, understand.” He took a final suck at his thumb. “Hey, Johnson.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“See?” asked Archie. “No secrets here, Renault. Nothing personal. Not in The Vigils.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Carter blew air out of his mouth in exasperation. He was losing patience with Archie’s cat and mouse crap. He had sat here for two years watching Archie play his silly games with kids, having Archie act the big shot as if he ran the show. Carter carried the responsibility for the assignments on his shoulders. As president, he also had to keep the other guys in line, keep them psyched up, ready to help make Archie’s assignments work. And Carter wasn’t crazy about this chocolate stuff. It was something beyond the control of The Vigils. It involved Brother Leon and he didn’t trust Leon as far as he could throw him. Now, he watched the kid Renault, looking as if he was ready to faint with fright, his face pale and eyes wide with dread, and Archie having fun with him. Jesus. Carter hated this psychological crap. He loved boxing where everything was visible—the jabs, the hooks, the roundhouse swings, the glove in the stomach."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Archie returned his attention to Jerry. “You’re getting off easy, Renault. You’ve disobeyed The Vigils. That calls for punishment. Although The Vigils don’t believe in violence, we have found it necessary to have a punishment code. The punishment is usually worse than the assignment. But we’re letting you off cheap, Renault. We’re just asking you to take the chocolates tomorrow. And sell them.”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"Jerry hung up. He didn’t want to hear anymore. The word “crap,” echoing now in his mind, had destroyed all illusion about her. Like meeting a lovely girl and having her smile reveal rotten teeth. But his heart was still beating wildly. Are you some kind of pervert? Maybe I am. Not a sexual pervert but another kind. Wasn’t refusing to sell the chocolates a kind of perversion? Wasn’t it crazy to go on refusing to sell the chocolates, particularly after that last warning yesterday by Archie Costello and The Vigils? And yet this morning, he had stood his ground and fired a level and positive No at Brother Leon. For the first time, the word brought exultancy to him, a lifting of the spirit."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"THEY SHOULDN’T HAVE PICKED Frankie Rollo for an assignment, of course. A junior, Rollo was insolent, a troublemaker. He was a non-participant, refusing to take part in athletics or extra-curricular activities that were so important in the Trinity scene. He seldom opened a book and never did any homework, but he managed to survive because he possessed a native and cunning intelligence. His major talent was cheating. He was also lucky. Under ordinary circumstances, he was the kind of guy Archie took pleasure in assigning, watching him bend or break. All these so-called rough characters melted into ninety-seven-pound weaklings when confronted by Archie and The Vigils. The scorn and the swagger evaporated as they stood ill-at-ease in the storage room. But not Frankie Rollo. He stood loose and easy, unintimidated."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“Hey, you guys,” Rollo said, swiveling away from Archie and addressing the entire assembly. “I’m not a scared kid who pees his pants because the big bad Vigils call him to a meeting. Hell, you guys can’t even scare a punk freshman into selling a few lousy chocolates …”"|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"A muffled roar of approval rose from The Vigils. At last, action, physical action, something you could see with your own eyes."|"The Chocolate War"|"Robert Cormier"
02:30|Vigils|"“Okay, quiet,” Carter demanded, as if he were yelling at Rollo to quit throwing up. Then he turned to Archie. “Sit down,” he said. Archie recognized the command in Carter’s voice. For a moment, he was tempted to challenge him but he realized that The Vigils had approved Carter’s action against Rollo. This was no time to have a showdown with Carter, it was time to play it cool, cool. Archie sat."|"The Chocolate War"|"Robert Cormier"
